"","Alexandria","Arlington","Bethesda","Chevy Chase","Derwood","Fort Myer","Hyattsville","Mc Lean","Mount Rainier","Oxon Hill","Reston","Riverdale","Rockville","Silver Spring","Takoma Park","Upper Marlboro","Vienna","Washington"
"Alexandria",272619,25695,4,5,0,248,0,0,0,5,1,0,4,1,0,0,0,12899
"Arlington",35520,1150820,160,125,0,12471,0,25,0,0,42,2,5,15,2,0,33,353767
"Bethesda",36,368,44889,14945,1,4,0,1,0,0,0,0,395,649,5,0,0,14803
"Chevy Chase",38,284,10847,16254,0,16,0,0,0,0,0,0,22,768,27,0,0,24253
"Derwood",0,0,14,10,6397,0,0,0,0,0,0,0,6050,8,0,0,0,12
"Fort Myer",392,11856,2,2,0,3490,0,0,0,0,0,0,0,0,2,0,0,25397
"Hyattsville",0,0,0,0,0,0,101,0,8,0,0,16,0,27,1,0,0,50
"Mc Lean",0,54,1,0,0,0,0,4623,0,0,13,0,0,0,0,0,386,18
"Mount Rainier",0,0,0,0,0,0,17,0,17,0,0,3,0,0,1,0,0,75
"Oxon Hill",7,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,2
"Reston",6,138,0,0,0,0,0,20,0,0,14974,0,0,0,0,0,10,22
"Riverdale",0,0,0,0,0,0,22,0,0,0,0,42,0,1,2,0,0,17
"Rockville",0,1,560,47,5903,0,0,0,0,0,0,0,21749,32,0,0,0,107
"Silver Spring",6,22,318,584,1,0,14,0,1,0,0,0,22,36061,3195,0,0,19675
"Takoma Park",0,5,2,18,0,2,1,0,1,0,0,1,0,2132,9962,0,0,18499
"Upper Marlboro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,5
"Vienna",0,49,0,0,0,0,0,332,0,0,3,0,0,0,0,0,215,2
"Washington",16303,279096,6347,17250,3,32174,61,8,108,1,4,14,49,10249,22223,4,0,19364206
